Developers
11 bit studios
ACE Team
Akupara Games
Alec Holowka
Alientrap
Amanita Design
Ambrosia Software
Amplitude Studios
AmnesiaGames
Ankama Games
Anna Anthropy
Arcane Kids
Arcen Games
Arrowhead Game Studios
Artix Entertainment
Artplay
Aventurine SA
Babaroga
Basilisk Games
The Behemoth
Benjamin Rivers
Big Finish Games
Blitz Games Studios
Blue Fang Games
Bohemia Interactive Studio
Boomzap Entertainment
Bubble Gum Interactive
Capybara Games
Cellar Door Games
CBE Software
CCP Games
The Chinese Room
Choice Provisions
Christine Love
Christopher Howard Wolf
Chronic Logic
Cinemax
ClockStone
Cloud Imperium Games
Coffee Stain Studios
Colossal Order
Comcept
Compulsion Games
Craneballs Studio
Croteam
Crytek Black Sea
Curve Digital
Cypronia
Daedalic Entertainment
Datcroft Games
Daniel Benmergui
Davilex Games
Dejobaan Games
Dennaton Games
Derek Smart
Derek Yu
Digital Eel
Digital Happiness
Dreadlocks Ltd
DrinkBox Studios
Dr. Panda
Edmund McMillen
Elixir Studios
Eurocom
"Evony, LLC"
Facepunch Studios
Firefly Studios
Flying Wild Hog
Freebird Games
Frictional Games
Frima
Frogwares
Frontier Developments
The Fullbright Company
Games Distillery
GarageGames
Gogii Games
Greenheart Games
Grip Digital
Guild Software
Haemimont Games
Halfbrick Studios
Hanako Games
Hello Games
Hexage
Hidden Path Entertainment
Himalaya Studios
Hoplon Infotainment
Ice-Pick Lodge
Image & Form
Inti Creates
Introversion Software
Invictus Games
Jagex
Jason Rohrer
Jonas Kyratzes
"Jonatan ""Cactus"" Söderström"
Jph Wacheski
Keen Software House
Klei Entertainment
Kloonigames
Kunos Simulazioni
Kiro'o Games
Laminar Research
Larian Studios
Lazy 8 Studios
Lindsay Grace
Little Green Men Games
Llamasoft
Madfinger Games
Messhof
MidBoss
Mighty Rabbit Studios
Mode 7 Games
Mojang
Molleindustria
Moon Studios
NeocoreGames
New Star Games
Nicalis
Nifflas
Nival Interactive
Number None
The Odd Gentlemen
Owlchemy Labs
Parallax Studio
PixelJAM Games
Playdead
Polytron Corporation
Puppy Games
Positech Games
Private Moon Studios
Provox Games
Psyonix Studios
Punch Entertainment
Q-Games
Rake In Grass
Red Thread Games
Renegade Kid
Daniel Remar
Relentless Software
Renegade Kid
Roll7
Ronimo Games
Rovio Entertainment
S2 Games
Saber Interactive
Sandlot Games
Santa Cruz Games
Schell Games
Scott Cawthon
Semi Secret Software
Sidhe
Simogo
Silver Creek Entertainment
Ska Studios
Skygoblin
Soldak Entertainment
Spiderweb Software
Splash Damage
Squad
Stardock
Storm Impact
Studio Pixel
Subatomic Studios
Supergiant Games
SuperVillain Studios
Tarsier Studios
Tale of Tales
TaleWorlds
Team Shanghai Alice
Telltale Games
Terry Cavanagh
thatgamecompany
Three Rings Design
Tiger Style
tinyBuild
Terri Vellmann
Toby Fox
Torpex Games
Tomorrow Corporation
Trendy Entertainment
Tribute Games
Trickster Arts
Twisted Pixel
Uber Entertainment
Vectorpark
Vlambeer
VoxelStorm
Wadjet Eye Games
"WayForward Technologies, Inc."
Wolfire Games
Xona Games
XMG Studio
Yacht Club Games
Young Horses
Zachary Barth
Zoetrope Interactive
Zoink
Zoonami
ZootFly
